example_id,word,ipa,units,token_focus,corpus_word_frequency,decision,corrected_ipa,notes
example-0001,ஆதிமுதற்கொண்டு,aːt̪imut̪arkoɳʈu,aː t̪ i m u t̪ a r k o ɳ ʈ u,k,1,pending,,
example-0002,உதவிப்படையாக,ut̪aʋippaʈajjaːka,u t̪ a ʋ i p p a ʈ a j j aː k a,u,1,pending,,
example-0003,தரவிருப்பதாகக்,t̪aɾaʋiɾuppat̪aːkak,t̪ a ɾ a ʋ i ɾ u p p a t̪ aː k a k,ʋ,1,pending,,
example-0004,எங்களுக்குச்,eŋkaɭukkut͡ʃ,e ŋ k a ɭ u k k u t͡ʃ,a,1,pending,,
example-0005,செயல்படுவர்கள்,t͡ʃejalpaʈuʋaɾkaɭ,t͡ʃ e j a l p a ʈ u ʋ a ɾ k a ɭ,j,1,pending,,
example-0006,நாடுகளுக்குப்,n̪aːʈukaɭukkup,n̪ aː ʈ u k a ɭ u k k u p,aː,1,pending,,
example-0007,உறுப்புகளால்,uruppukaɭaːl,u r u p p u k a ɭ aː l,k,1,pending,,
example-0008,ஒப்பிடுகின்ற,oppiʈukinra,o p p i ʈ u k i n r a,u,1,pending,,
example-0009,ஓட்டும்,oːʈʈum,oː ʈ ʈ u m,m,1,pending,,
example-0010,எழுத்தைக்,eɻut̪t̪ajk,e ɻ u t̪ t̪ a j k,a,1,pending,,
example-0011,சார்க்கோசிக்கும்,t͡ʃaːɾkkoːt͡ʃikkum,t͡ʃ aː ɾ k k oː t͡ʃ i k k u m,t͡ʃ,1,pending,,
example-0012,சண்முகம்,t͡ʃaɳmukam,t͡ʃ a ɳ m u k a m,t͡ʃ,7,pending,,
example-0013,கட்டமைப்புகள்,kaʈʈamajppukaɭ,k a ʈ ʈ a m a j p p u k a ɭ,ʈ,1,pending,,
example-0014,கணிப்பில்,kaɳippil,k a ɳ i p p i l,ɳ,15,pending,,
example-0015,குதிரைவீரரையும்,kut̪iɾajʋiːɾaɾajjum,k u t̪ i ɾ a j ʋ iː ɾ a ɾ a j j u m,i,2,pending,,
example-0016,ஹோர்னடே,hoːɾnaʈeː,h oː ɾ n a ʈ eː,a,1,pending,,
example-0017,தேடிவந்த,t̪eːʈiʋan̪t̪a,t̪ eː ʈ i ʋ a n̪ t̪ a,eː,1,pending,,
example-0018,போக்கில்,poːkkil,p oː k k i l,i,30,pending,,
example-0019,நிற்பதை,n̪irpat̪aj,n̪ i r p a t̪ a j,p,5,pending,,
example-0020,முற்பட்டோம்,murpaʈʈoːm,m u r p a ʈ ʈ oː m,m,2,pending,,
example-0021,கற்களும்,karkaɭum,k a r k a ɭ u m,u,3,pending,,
example-0022,தருவதற்கும்,t̪aɾuʋat̪arkum,t̪ a ɾ u ʋ a t̪ a r k u m,a,2,pending,,
example-0023,வென்றவாறு,ʋenraʋaːru,ʋ e n r a ʋ aː r u,a,1,pending,,
example-0024,ரங்கீலா,ɾaŋkiːlaː,ɾ a ŋ k iː l aː,k,1,pending,,
example-0025,இவ்வுலகநடை,iʋʋulakan̪aʈaj,i ʋ ʋ u l a k a n̪ a ʈ a j,l,1,pending,,
example-0026,கட்சிகளுக்கான,kaʈt͡ʃikaɭukkaːna,k a ʈ t͡ʃ i k a ɭ u k k aː n a,ɭ,5,pending,,
example-0027,பத்தொன்பதாவது,pat̪t̪onpat̪aːʋat̪u,p a t̪ t̪ o n p a t̪ aː ʋ a t̪ u,a,2,pending,,
example-0028,மானோடக்டிலசு,maːnoːʈakʈilat͡ʃu,m aː n oː ʈ a k ʈ i l a t͡ʃ u,oː,2,pending,,
example-0029,ஐந்தால்,ajn̪t̪aːl,a j n̪ t̪ aː l,n̪,1,pending,,
example-0030,பட்டணத்திற்கு,paʈʈaɳat̪t̪irku,p a ʈ ʈ a ɳ a t̪ t̪ i r k u,u,1,pending,,
example-0031,எதிருருக்கள்,et̪iɾuɾukkaɭ,e t̪ i ɾ u ɾ u k k a ɭ,i,1,pending,,
example-0032,ஆத்திரேலியாவில்,aːt̪t̪iɾeːlijaːʋil,aː t̪ t̪ i ɾ eː l i j aː ʋ i l,t̪,2,pending,,
example-0033,கிழமைக்கு,kiɻamajkku,k i ɻ a m a j k k u,m,3,pending,,
