token,corpus_frequency,source_count,decision,replacement_token,notes
a,1084962,4,pending,,
ai,0,1,pending,,
au,0,1,pending,,
aɪ,0,1,pending,,
aʊ,0,1,pending,,
aː,266530,4,pending,,
b,0,3,pending,,
c,0,1,pending,,
cç,0,1,pending,,
d,0,1,pending,,
d̠ʒ,0,1,pending,,
d̪,0,3,pending,,
d͡ʒ,10243,1,pending,,
e,95461,4,pending,,
eː,58936,4,pending,,
f,0,1,pending,,
h,2231,3,pending,,
i,489129,4,pending,,
iː,23446,4,pending,,
j,317688,4,pending,,
k,446414,4,pending,,
l,180887,3,pending,,
l̠˞,0,1,pending,,
l̪,0,1,pending,,
m,251261,4,pending,,
n,203116,4,pending,,
n̪,107919,3,pending,,
o,61479,4,pending,,
oː,44019,4,pending,,
p,259544,4,pending,,
r,164061,2,pending,,
r̪,0,1,pending,,
s,10877,3,pending,,
t,0,1,pending,,
t̠ʃ,0,1,pending,,
t̪,453141,4,pending,,
t͡ʃ,115286,1,pending,,
u,468387,4,pending,,
uː,29721,4,pending,,
w,0,2,pending,,
x,0,1,pending,,
ð,0,1,pending,,
ŋ,32838,3,pending,,
ɖ,0,3,pending,,
ɟ,0,1,pending,,
ɟʝ,0,1,pending,,
ɡ,0,3,pending,,
ɨ,0,1,pending,,
ɭ,142329,4,pending,,
ɲ,3497,4,pending,,
ɳ,58023,4,pending,,
ɸ,0,1,pending,,
ɻ,34303,2,pending,,
ɽ,0,1,pending,,
ɾ,265701,3,pending,,
ʂ,5217,2,pending,,
ʈ,244899,4,pending,,
ʋ,192884,2,pending,,
ʐ,0,1,pending,,
ஃ,853,1,pending,,
